Location_Name,l_hist,l_adv,l_nat,l_rel,l_outdoor,l_lat,l_lng,image_urls
Muthurajawela Wetland,0.1,0.4,0.9,0.4,1,7.0333,79.85,"[""https://upload.wikimedia.org/wikipedia/commons/c/c1/Dark_at_Mangroves.png"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Black-hooded_oriole_%28Oriolus_xanthornus%29_01.jpg/960px-Black-hooded_oriole_%28Oriolus_xanthornus%29_01.jpg"", ""N/A""]"
Rose Quartz Mountain,0.4,0.6,0.8,0.2,1,7.84,80.56,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/2012_Tucson_22nd_Street_Show_18.JPG/960px-2012_Tucson_22nd_Street_Show_18.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/2012_Tucson_Gem_%26_Mineral_Show_85.JPG/960px-2012_Tucson_Gem_%26_Mineral_Show_85.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amatista_Laye_2.jpg/960px-Amatista_Laye_2.jpg""]"
Nine Arches Bridge,0.6,0.3,0.7,0.4,1,6.8768,81.0608,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/NineArchesBridge.JPG/960px-NineArchesBridge.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Nine_Arch_Bridge-Srilanka-Andres_Larin.jpg/960px-Nine_Arch_Bridge-Srilanka-Andres_Larin.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Nine_Arches_Bridge.jpg/960px-Nine_Arches_Bridge.jpg""]"
Pedro Tea Estate,0.4,0.1,0.6,0.8,1,6.9833,80.7833,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_log.jpg/960px-A_log.jpg"", ""N/A"", ""N/A""]"
Ambuluwawa Tower,0.2,0.7,0.6,0.2,1,7.1614,80.5562,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ambuluwawa_Multi_Religion_Center.jpg/960px-Ambuluwawa_Multi_Religion_Center.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ambuluwawa_tower_top.jpg/960px-Ambuluwawa_tower_top.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/0/0e/Torre_d%27Ambuluwawa.jpg""]"
Embekke Devalaya,1.0,0.1,0.2,0.4,0,7.2186,80.5658,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Chit_Chat.JPG/960px-Chit_Chat.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Door_Frame_in_Embekka_Devalaya_2008.JPG/960px-Door_Frame_in_Embekka_Devalaya_2008.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Embekka_Bull_%26_Elephant_Wood_Carving.JPG/960px-Embekka_Bull_%26_Elephant_Wood_Carving.JPG""]"
St. Clair's Falls,0.1,0.3,0.9,0.6,1,6.9389,80.6464,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%281%29.jpg/960px-UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%281%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/f/f0/St.ClairsFalls-Srilanka.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%283%29.jpg/960px-UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%283%29.jpg""]"
Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gangaramaya_Temple.JPG/960px-Gangaramaya_Temple.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Navam_Perahera_of_the_Colombo_Gangarama_Temple_-_15.2.2022_Sri_Lanka.jpg/960px-Navam_Perahera_of_the_Colombo_Gangarama_Temple_-_15.2.2022_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Colombo_Temple_bouddhiste_de_Gangaramaya_%282%29.JPG/960px-Colombo_Temple_bouddhiste_de_Gangaramaya_%282%29.JPG""]"
Riverston Gap,0.1,0.8,0.9,0.1,1,7.5167,80.7333,"[""N/A"", ""N/A"", ""N/A""]"
Elephant Rock,0.0,0.6,0.7,0.5,1,6.81,81.82,"[""https://upload.wikimedia.org/wikipedia/commons/c/cf/CinnamonAir.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Colombo_Skyline_Jan_2022.jpg/960px-Colombo_Skyline_Jan_2022.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Elephants_gather_for_water_in_the_plains_at_Minneriya_National_Park_in_Sri_Lanka._It_is_one_of_the_largest_gathering_of_-_Flickr_-_Al_Jazeera_English.jpg/960px-Elephants_gather_for_water_in_the_plains_at_Minneriya_National_Park_in_Sri_Lanka._It_is_one_of_the_largest_gathering_of_-_Flickr_-_Al_Jazeera_English.jpg""]"
Hakgala Botanical Garden,0.2,0.1,0.9,0.7,1,6.9274,80.8201,"[""https://upload.wikimedia.org/wikipedia/commons/3/37/Hakgala_Botanical_Garden.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Pigeon_Island_National_Park%2C_Trincomalee.jpg/960px-Pigeon_Island_National_Park%2C_Trincomalee.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/1/16/Nock_memorial_summer_house_hakgala_botanical_garden.jpg""]"
Mihintale,1.0,0.3,0.4,0.2,1,8.35,80.5167,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Mihintale_Rock.jpg/960px-Mihintale_Rock.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/c/cf/Buddha_Statue_at_Mihintale%2C_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Frescos_at_Kantaka_Cetiya_Mihintale_Srilanka.jpg/960px-Frescos_at_Kantaka_Cetiya_Mihintale_Srilanka.jpg""]"
Coconut Tree Hill,0.0,0.1,0.5,0.9,1,5.9381,80.4667,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Coconut_Tree_Hill%2C_Sri_Lanka.jpg/960px-Coconut_Tree_Hill%2C_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/c/cb/Coconut_Tree_Hill_Beauty.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Coconut_tree_hills.jpg/960px-Coconut_tree_hills.jpg""]"
Nagadeepa Vihara,0.8,0.1,0.4,0.4,1,9.6167,79.7667,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/082_Buddha_and_the_Naga_Throne_%2820256361649%29.jpg/960px-082_Buddha_and_the_Naga_Throne_%2820256361649%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Nainathivunakaviharai_2.jpg/960px-Nainathivunakaviharai_2.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/NainathivuNahaVihara.JPG/960px-NainathivuNahaVihara.JPG""]"
Victoria Park,0.3,0.0,0.8,0.8,1,6.9708,80.7675,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/SL_Colombo_asv2020-01_img11_Viharamahadevi_Park.jpg/960px-SL_Colombo_asv2020-01_img11_Viharamahadevi_Park.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Viharamahadevi_Park_%2843700702964%29.jpg/960px-Viharamahadevi_Park_%2843700702964%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/SL_Colombo_asv2020-01_img12_Viharamahadevi_Park.jpg/960px-SL_Colombo_asv2020-01_img12_Viharamahadevi_Park.jpg""]"
Kumana Bird Sanctuary,0.1,0.4,1.0,0.4,1,6.5131,81.6878,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/At_Kumana_National_Park.jpg/960px-At_Kumana_National_Park.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Black_Neck_stork_photographed_in_Kumana_National_Park.jpg/960px-Black_Neck_stork_photographed_in_Kumana_National_Park.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/4/4c/Canis_aureus_naria_-_Yala_December_2010_%281%29.jpg""]"
Lipton's Seat,0.3,0.5,0.9,0.4,1,6.7833,81.0167,"[""https://upload.wikimedia.org/wikipedia/commons/9/9b/LIPTON-1926.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Lipton%27s_seat.jpg/960px-Lipton%27s_seat.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/8/87/Lipton_Earl_Grey_tin.jpg""]"
Lotus Tower,0.1,0.3,0.1,0.7,0,6.9269,79.8583,"[""https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Lotus_tower_and_Beira_lake_at_night_2023.jpg/960px-Lotus_tower_and_Beira_lake_at_night_2023.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Inside_of_the_Banquet_Hall_on_the_Fourth_Floor_of_Colombo_Lotus_Tower_with_Pink-tainted_glass.jpg/960px-Inside_of_the_Banquet_Hall_on_the_Fourth_Floor_of_Colombo_Lotus_Tower_with_Pink-tainted_glass.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Lotus_Tower_Floating_Market-Colombo_Srilanka-Andres_Larin.jpg/960px-Lotus_Tower_Floating_Market-Colombo_Srilanka-Andres_Larin.jpg""]"
Ella Rock Hike,0.1,0.9,0.8,0.1,1,6.8585,81.0505,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Diyaluma_Falls_%28Koslanda%2C_Sri_Lanka%29.jpg/960px-Diyaluma_Falls_%28Koslanda%2C_Sri_Lanka%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Ella%2C_Sri_Lanka%2C_Mountains_in_clouds%2C_Panorama.jpg/960px-Ella%2C_Sri_Lanka%2C_Mountains_in_clouds%2C_Panorama.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Lipton%27s_seat.jpg/960px-Lipton%27s_seat.jpg""]"
Trincomalee Harbour,0.5,0.2,0.6,0.4,1,8.5667,81.2333,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Sri_Lanka_Navy_troop_transport_catamaran.JPG/960px-Sri_Lanka_Navy_troop_transport_catamaran.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/ColomboHarbour-SriLanka02.jpg/960px-ColomboHarbour-SriLanka02.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/TrincomaleeHabour.jpg/960px-TrincomaleeHabour.jpg""]"
Point Pedro,0.4,0.3,0.5,0.3,1,9.8167,80.2333,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Kottuvasal.jpg/960px-Kottuvasal.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/ColomboHarbour-SriLanka02.jpg/960px-ColomboHarbour-SriLanka02.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Point_pedro_land%27s_end.jpg/960px-Point_pedro_land%27s_end.jpg""]"
Kandy Lake Stroll,0.4,0.1,0.5,0.9,1,7.2925,80.641,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Kandy_Bath_House_%284%29.jpg/960px-Kandy_Bath_House_%284%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Kandy_Lake_%289%29.jpg/960px-Kandy_Lake_%289%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/SL_Kandy_asv2020-01_img13_Arthurs_Seat_view.jpg/960px-SL_Kandy_asv2020-01_img13_Arthurs_Seat_view.jpg""]"
Horton Plains,0.1,0.8,1.0,0.2,1,6.8028,80.8039,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Aristea_ecklonii_5.jpg/960px-Aristea_ecklonii_5.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/SL_Horton_Plains_NP_asv2020-01_img02.jpg/960px-SL_Horton_Plains_NP_asv2020-01_img02.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/SL_Horton_Plains_NP_asv2020-01_img15.jpg/960px-SL_Horton_Plains_NP_asv2020-01_img15.jpg""]"
Sea Turtle Hatchery,0.1,0.1,0.7,0.5,0,5.9833,80.2833,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Baby-leatherback-1.jpg/960px-Baby-leatherback-1.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Dermochelys_coriacea.jpg/960px-Dermochelys_coriacea.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/e/e4/Dermochelys_coriacea_%28beach%29.jpg""]"
Anuradhapura Sacred City,1.0,0.1,0.3,0.2,1,8.35,80.3949,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Anuradhapura_in_Sri_Lanka.jpg/960px-Anuradhapura_in_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/SL_Anuradhapura_asv2020-01_img11_Ruwanwelisaya_Stupa.jpg/960px-SL_Anuradhapura_asv2020-01_img11_Ruwanwelisaya_Stupa.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/The_sacred_city_of_Anuradhapura.jpg/960px-The_sacred_city_of_Anuradhapura.jpg""]"
Old Dutch Hospital,0.7,0.1,0.1,0.9,0,6.9333,79.8417,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Dutch_Hospital.jpg/960px-Dutch_Hospital.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/20160129_Sri_Lanka_4229_Galle_sRGB_%2825139038324%29.jpg/960px-20160129_Sri_Lanka_4229_Galle_sRGB_%2825139038324%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Old_Hospital_Building%2C_Galle%2C_Sri_Lanka_-_panoramio.jpg/960px-Old_Hospital_Building%2C_Galle%2C_Sri_Lanka_-_panoramio.jpg""]"
Japanese Peace Pagoda,0.7,0.1,0.4,0.8,1,6.015,80.2433,"[""https://upload.wikimedia.org/wikipedia/commons/8/8c/Batterseaparkpeacepagoda.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Dhamma_Talaka_Peace_Pagoda%2C_Birmingham.jpg/960px-Dhamma_Talaka_Peace_Pagoda%2C_Birmingham.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Dhauli-Giri-Shanti-Stupa-Bhubaneswar-Orissa.jpg/960px-Dhauli-Giri-Shanti-Stupa-Bhubaneswar-Orissa.jpg""]"
Little Adam's Peak,0.1,0.8,0.8,0.2,1,6.8667,81.0667,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/AdamsBridge02-NASA.jpg/960px-AdamsBridge02-NASA.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Adams_Bridge_aerial.jpg/960px-Adams_Bridge_aerial.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Alternative_Alignments.png/960px-Alternative_Alignments.png""]"
Arugam Bay,0.1,0.9,0.6,0.4,1,6.8417,81.8333,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Beach_of_Arugam_Bay.jpg/960px-Beach_of_Arugam_Bay.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Arugam_Waves_%28238816201%29.jpeg/960px-Arugam_Waves_%28238816201%29.jpeg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Arugam_Bay%2C_Heda_Oya%2C_2025-07_CN-01.jpg/960px-Arugam_Bay%2C_Heda_Oya%2C_2025-07_CN-01.jpg""]"
Udawalawe National Park,0.1,0.6,1.0,0.2,1,6.4333,80.8833,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Udawalawe_National_Park_%28Udawalawa_Reservoir%29.jpg/960px-Udawalawe_National_Park_%28Udawalawa_Reservoir%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Parc_national_de_Uda_Walawa_Sri-Lanka_%284%29.jpg/960px-Parc_national_de_Uda_Walawa_Sri-Lanka_%284%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/0/0b/Udawalawe39.jpg""]"
Independence Square,0.7,0.0,0.2,0.6,1,6.9039,79.8678,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Arcade_Independence_Square%2C_Colombo%2C_Sri_Lanka.jpg/960px-Arcade_Independence_Square%2C_Colombo%2C_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Arcade_Independence_Square.jpg/960px-Arcade_Independence_Square.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Arcade_at_Independence_Square_Colombo.jpg/960px-Arcade_at_Independence_Square_Colombo.jpg""]"
Koneswaram Temple,0.9,0.1,0.5,0.4,1,8.5825,81.2456,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Spiritual_16.jpg/960px-Spiritual_16.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Colour_1.jpg/960px-Colour_1.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/0/00/Double_fish_Pandyan_relief%2C_Koneswaram.jpg""]"
Ceylon Tea Museum,0.8,0.0,0.2,0.6,0,7.2683,80.6319,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/KANDY_TEA_MUSEUM_KANDY_TOWN_SRI_LANKA_JAN_2013_%288583226551%29.jpg/960px-KANDY_TEA_MUSEUM_KANDY_TOWN_SRI_LANKA_JAN_2013_%288583226551%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Plucking_the_Tea%2C_Ceylon_%287096858619%29.jpg/960px-Plucking_the_Tea%2C_Ceylon_%287096858619%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/William_Louis_Henry_Skeen_%28British_%28modern%29%2C_1830-1930%29_-_Man_Placing_Tea_Leaves_into_Machine%2C_Ceylon_-_2018.491_-_Cleveland_Museum_of_Art.jpg/960px-William_Louis_Henry_Skeen_%28British_%28modern%29%2C_1830-1930%29_-_Man_Placing_Tea_Leaves_into_Machine%2C_Ceylon_-_2018.491_-_Cleveland_Museum_of_Art.jpg""]"
Sigiriya Lion Rock,1.0,0.4,0.5,0.1,1,7.957,80.7603,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Batticaloa_Portuguese_%28dutch%29_fort.jpg/960px-Batticaloa_Portuguese_%28dutch%29_fort.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/4/4c/Beauty_of_Sigiriya_by_Binuka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Frescoes_at_Sigiriya-at_cobra_cave%2C_Sri_lanka.jpg/960px-Frescoes_at_Sigiriya-at_cobra_cave%2C_Sri_lanka.jpg""]"
Kitulgala Rafting,0.1,1.0,0.7,0.1,1,6.9833,80.4167,"[""https://upload.wikimedia.org/wikipedia/commons/1/1c/SL01kitulgala.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/f/f9/SL06kitulgala.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/1/18/SL08kitulgala.jpg""]"
Mount Lavinia Beach,0.2,0.1,0.4,0.8,1,6.8333,79.8667,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/BHFGalkissa.jpg/960px-BHFGalkissa.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/BahnhofGalkissa.jpg/960px-BahnhofGalkissa.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Bahn%C3%BCbergangGalkissa.jpg/960px-Bahn%C3%BCbergangGalkissa.jpg""]"
Avukana Buddha Statue,0.9,0.1,0.2,0.5,1,8.01,80.51,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Avukana_Buddha_Statue_04.JPG/960px-Avukana_Buddha_Statue_04.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Buda_de_Avukana_-_03.jpg/960px-Buda_de_Avukana_-_03.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Buda_de_Avukana_-_02.jpg/960px-Buda_de_Avukana_-_02.jpg""]"
Marble Beach,0.1,0.2,0.6,0.9,1,8.5167,81.2167,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Goddess_Kannaki.jpg/960px-Goddess_Kannaki.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/6/6b/Kodungallur-RD-11Nov11.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Puhar-Kannagi-Kovalan.jpg/960px-Puhar-Kannagi-Kovalan.jpg""]"
Polonnaruwa Ruins,1.0,0.2,0.4,0.2,1,7.9333,81.0,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Polonnaruwa.jpg/960px-Polonnaruwa.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Atadage%2C_Polonnaruwa.jpg/960px-Atadage%2C_Polonnaruwa.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Polonnaruwa_castle%2C_Sri_Lanka.jpg/960px-Polonnaruwa_castle%2C_Sri_Lanka.jpg""]"
Udawattekele Sanctuary,0.2,0.5,0.9,0.4,1,7.2989,80.6433,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cittavisuddhi_Lena.jpg/960px-Cittavisuddhi_Lena.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/d/de/Epipremnum_aureum_in_Udawattakele.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Garrison_Cemetery.jpg/960px-Garrison_Cemetery.jpg""]"
Negombo Fish Market,0.3,0.1,0.2,0.2,1,7.2,79.8333,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/A_Hindu_Gentleman_of_North_Ceylon_%28p.72%2C_July_1859%2C_XVI%29_-_Copy.jpg/960px-A_Hindu_Gentleman_of_North_Ceylon_%28p.72%2C_July_1859%2C_XVI%29_-_Copy.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Black_and_Red_ware.jpg/960px-Black_and_Red_ware.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Canadian_Sri_Lankan_Tamil_Children.jpg/960px-Canadian_Sri_Lankan_Tamil_Children.jpg""]"
